no,name,attributes,ability_name,ability_desc,strong_against,weak_to,resists,resisted_by,skills,image
1,迪莫,光,最好的伙伴,每学会 1 个不同系别的技能，永久提升攻击 + 5%、防御 + 5%,"幽,恶","幽,草","幻,恶","草,冰",猛烈撞击;闪光;防御;魔法增效;光球;火焰箭;力量增效;棘突;潮涌;超导;闪光冲击;漫反射;冰爪;热砂;念力膨胀;放晴;过曝;光刃;折射;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;幻象;花香;冷风;噬心;折线冲击;离子震荡;魅惑;星云漩涡;扬沙;溃烂触碰;泡沫;鹰爪;借用;坍缩;天洪;寒风吹;怒火;抽枝;有效预防;气泡;氧输送;润泽;炎打;电弧;藤绞;跺地;闪燃,images/sprites/迪莫.png
2,喵喵,草,氧循环,使用草系技能后，回复10%生命。,"光,地,水","虫,火,冰,毒,翼","水,地,光,电","火,毒,虫,翼,龙,机械",抓挠;休息回复;棘突;扫尾;藤绞;防御;徒长;叶绿光束;酶浓度调整;筛管奔流;盛开;孢子;仙人掌刺击;丰饶;光合作用;光能聚集;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;借用;剧毒;天光;应激反应;摇篮曲;晒太阳;毒孢子;毒沼;瘴气喷射;移花接木;精神扰乱;纤维化;腐化;腐蚀酸液;透射;重击,images/sprites/喵喵.png
3,喵呜,草,氧循环,使用草系技能后，回复10%生命。,"光,地,水","虫,火,冰,毒,翼","水,地,光,电","火,毒,虫,翼,龙,机械",抓挠;休息回复;棘突;扫尾;藤绞;防御;徒长;叶绿光束;酶浓度调整;筛管奔流;盛开;孢子;仙人掌刺击;丰饶;光合作用;光能聚集;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;借用;剧毒;天光;应激反应;摇篮曲;晒太阳;毒孢子;毒沼;瘴气喷射;移花接木;精神扰乱;纤维化;腐化;腐蚀酸液;透射;重击,images/sprites/喵呜.png
4,魔力猫,草,氧循环,使用草系技能后，回复10%生命。,"光,地,水","虫,火,冰,毒,翼","水,地,光,电","火,毒,虫,翼,龙,机械",抓挠;休息回复;棘突;扫尾;藤绞;防御;徒长;叶绿光束;酶浓度调整;筛管奔流;盛开;孢子;仙人掌刺击;丰饶;光合作用;光能聚集;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;借用;剧毒;天光;应激反应;摇篮曲;晒太阳;毒孢子;毒沼;瘴气喷射;移花接木;精神扰乱;纤维化;腐化;腐蚀酸液;透射;重击,images/sprites/魔力猫.png
4,叶冕魔力猫,草,深层氧循环,深层氧循环,"光,地,水","虫,火,冰,毒,翼","水,地,光,电","火,毒,虫,翼,龙,机械",抓挠;休息回复;棘突;扫尾;藤绞;防御;徒长;叶绿光束;酶浓度调整;筛管奔流;盛开;孢子;仙人掌刺击;丰饶;光合作用;光能聚集;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;借用;剧毒;天光;应激反应;摇篮曲;晒太阳;毒孢子;毒沼;瘴气喷射;移花接木;精神扰乱;纤维化;腐化;腐蚀酸液;透射;重击,images/sprites/叶冕魔力猫.png
5,火花,火,助燃,使用火系技能后，获得双攻+20%。,"草,冰,虫,机械","水,地","草,冰,萌,虫,机械","水,地,龙",猛烈撞击;火苗;力量增效;火焰切割;防御;吹火;晒太阳;怒火;持续高温;火云车;热身;闪燃;山火;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰箭;灵媒;花香;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;鹰爪;乘风;力量吞噬;压扁;复写;扇风;暗突袭;精神扰乱;诋毁;锐利眼神;阻断;风矢;龙之利爪;龙卷风,images/sprites/火花.png
6,焰火,火,助燃,使用火系技能后，获得双攻+20%。,"草,冰,虫,机械","水,地","草,冰,萌,虫,机械","水,地,龙",猛烈撞击;火苗;力量增效;火焰切割;防御;吹火;晒太阳;怒火;持续高温;火云车;热身;闪燃;山火;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰箭;灵媒;花香;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;鹰爪;乘风;力量吞噬;压扁;复写;扇风;暗突袭;精神扰乱;诋毁;锐利眼神;阻断;风矢;龙之利爪;龙卷风,images/sprites/焰火.png
7,火神,火,助燃,使用火系技能后，获得双攻+20%。,"草,冰,虫,机械","水,地","草,冰,萌,虫,机械","水,地,龙",猛烈撞击;火苗;力量增效;火焰切割;防御;吹火;晒太阳;怒火;持续高温;火云车;热身;闪燃;山火;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰箭;灵媒;花香;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;鹰爪;乘风;力量吞噬;压扁;复写;扇风;暗突袭;精神扰乱;诋毁;锐利眼神;阻断;风矢;龙之利爪;龙卷风,images/sprites/火神.png
7,烈火战神,火,爆燃,使用火系技能后，获得双攻+30%。,"草,冰,虫,机械","水,地","草,冰,萌,虫,机械","水,地,龙",猛烈撞击;火苗;力量增效;火焰切割;防御;吹火;晒太阳;怒火;持续高温;火云车;热身;闪燃;山火;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰箭;灵媒;花香;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;鹰爪;乘风;力量吞噬;压扁;复写;扇风;暗突袭;精神扰乱;诋毁;锐利眼神;阻断;风矢;龙之利爪;龙卷风,images/sprites/烈火战神.png
8,水蓝蓝,水,浸润,使用水系技能后，全技能能耗-1。,"火,地,机械","草,电","火,机械","草,冰,龙",防御;拍击;甩水;气泡;魔法增效;水泡盾;水炮;洗礼;泡沫幻影;涌泉;落雨;潮汐;天洪;防反;等价交换;升龙咆哮;集中;反击拳;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;毒沼;水弹枪;羽翼庇护;借用;冰墙;冰天雪地;冷风;吓退;嗜痛;多维击打;寒风吹;有效预防;水波术;突袭;速冻;魔能爆,images/sprites/水蓝蓝.png
9,波波拉,水,浸润,使用水系技能后，全技能能耗-1。,"火,地,机械","草,电","火,机械","草,冰,龙",防御;拍击;甩水;气泡;魔法增效;水泡盾;水炮;洗礼;泡沫幻影;涌泉;落雨;潮汐;天洪;防反;等价交换;升龙咆哮;集中;反击拳;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;毒沼;水弹枪;羽翼庇护;借用;冰墙;冰天雪地;冷风;吓退;嗜痛;多维击打;寒风吹;有效预防;水波术;突袭;速冻;魔能爆,images/sprites/波波拉.png
10,水灵,水,浸润,使用水系技能后，全技能能耗-1。,"火,地,机械","草,电","火,机械","草,冰,龙",防御;拍击;甩水;气泡;魔法增效;水泡盾;水炮;洗礼;泡沫幻影;涌泉;落雨;潮汐;天洪;防反;等价交换;升龙咆哮;集中;反击拳;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;毒沼;水弹枪;羽翼庇护;借用;冰墙;冰天雪地;冷风;吓退;嗜痛;多维击打;寒风吹;有效预防;水波术;突袭;速冻;魔能爆,images/sprites/水灵.png
10,圣水守护,水,浪潮,使用水系技能后，全技能能耗-2。,"火,地,机械","草,电","火,机械","草,冰,龙",防御;拍击;甩水;气泡;魔法增效;水泡盾;水炮;洗礼;泡沫幻影;涌泉;落雨;潮汐;天洪;防反;等价交换;升龙咆哮;集中;反击拳;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;毒沼;水弹枪;羽翼庇护;借用;冰墙;冰天雪地;冷风;吓退;嗜痛;多维击打;寒风吹;有效预防;水波术;突袭;速冻;魔能爆,images/sprites/圣水守护.png
11,鸭吉吉,普通,挺起胸脯,携带的能耗为1的技能，威力+50%。,,武,幽,"地,幽,机械",猛烈撞击;力量增效;扫尾;防御;休息回复;旋转突击;咆哮;吓退;见招拆招;伺机而动;热身运动;吨位压制;快速移动;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;徒长;霜降;假寐;透射;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;三连破;主场优势;乘风;冲撞;反击拳;复写;提气;摇篮曲;破绽;精神扰乱;缠丝劲;防反;风矢;飞羽,images/sprites/鸭吉吉_蓬松的样子.png
11,鸭吉吉,普通,挺起胸脯,携带的能耗为1的技能，威力+50%。,,武,幽,"地,幽,机械",魔法增效;音波弹;拍击;防御;休息回复;许愿星;咆哮;吓退;蓄能轰击;伺机而动;鼓劲;魔能爆;快速移动;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;主场优势;乘风;借用;加固;反击拳;嗜痛;回旋风暴;提气;摇篮曲;气波;破绽;精神扰乱;翼击;飞羽,images/sprites/鸭吉吉_蓬松的样子.png
11,鸭吉吉,普通,挺起胸脯,携带的能耗为1的技能，威力+50%。,,武,幽,"地,幽,机械",猛烈撞击;力量增效;扫尾;防御;休息回复;旋转突击;咆哮;吓退;见招拆招;伺机而动;热身运动;吨位压制;快速移动;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;徒长;霜降;假寐;透射;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;三连破;主场优势;乘风;冲撞;反击拳;复写;提气;摇篮曲;破绽;精神扰乱;缠丝劲;防反;风矢;飞羽,images/sprites/鸭吉吉_蓬松的样子.png
11,鸭吉吉,普通,挺起胸脯,携带的能耗为1的技能，威力+50%。,,武,幽,"地,幽,机械",魔法增效;音波弹;拍击;防御;休息回复;许愿星;咆哮;吓退;蓄能轰击;伺机而动;鼓劲;魔能爆;快速移动;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;主场优势;乘风;借用;加固;反击拳;嗜痛;回旋风暴;提气;摇篮曲;气波;破绽;精神扰乱;翼击;飞羽,images/sprites/鸭吉吉_蓬松的样子.png
11,鸭吉吉,普通,挺起胸脯,携带的能耗为1的技能，威力+50%。,,武,幽,"地,幽,机械",魔法增效;音波弹;拍击;防御;休息回复;许愿星;咆哮;吓退;蓄能轰击;伺机而动;鼓劲;魔能爆;快速移动,images/sprites/鸭吉吉_蓬松的样子.png
11,鸭吉吉,普通,挺起胸脯,携带的能耗为1的技能，威力+50%。,,武,幽,"地,幽,机械",猛烈撞击;力量增效;扫尾;防御;休息回复;旋转突击;咆哮;吓退;见招拆招;伺机而动;热身运动;吨位压制;快速移动;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;徒长;霜降;假寐;透射;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;三连破;主场优势;乘风;冲撞;反击拳;复写;提气;摇篮曲;破绽;精神扰乱;缠丝劲;防反;风矢;飞羽,images/sprites/鸭吉吉_蓬松的样子.png
11,鸭吉吉国王,普通,“国王”的威严,"自身种族值大幅增加,自己携带的能耗等于1的技能,威力+50%",,武,幽,"地,幽,机械",猛烈撞击;力量增效;扫尾;防御;休息回复;旋转突击;咆哮;吓退;见招拆招;伺机而动;热身运动;吨位压制;快速移动;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;徒长;霜降;假寐;透射;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;三连破;主场优势;乘风;冲撞;反击拳;复写;提气;摇篮曲;破绽;精神扰乱;缠丝劲;防反;风矢;飞羽,images/sprites/鸭吉吉国王.png
12,板板壳,水,缩壳,携带的防御技能能耗-2。,"火,地,机械","草,电","火,机械","草,冰,龙",肥皂泡;防御;魔法增效;气泡;洗礼;后发制人;水泡盾;水光冲击;落雨;水炮;泡沫幻影;天洪;水环;星星撞击;等价交换;升龙咆哮;集中;贯手;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;毒沼;水弹枪;风墙;化劲;叠势;复写;无畏之心;有效预防;棘突;气波;硬门;突袭;酶浓度调整;防反;防御反击;魔能爆,images/sprites/板板壳_本来的样子.png
12,板板壳,水,缩壳,携带的防御技能能耗-2。,"火,地,机械","草,电","火,机械","草,冰,龙",肥皂泡;防御;魔法增效;气泡;洗礼;后发制人;水泡盾;水光冲击;落雨;水炮;泡沫幻影;天洪;水环;星星撞击;等价交换;升龙咆哮;集中;贯手;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;毒沼;水弹枪;风墙;化劲;叠势;复写;无畏之心;有效预防;棘突;气波;硬门;突袭;酶浓度调整;防反;防御反击;魔能爆,images/sprites/板板壳_本来的样子.png
13,咔咔壳,水,缩壳,携带的防御技能能耗-2。,"火,地,机械","草,电","火,机械","草,冰,龙",肥皂泡;防御;魔法增效;气泡;洗礼;后发制人;水泡盾;水光冲击;落雨;水炮;泡沫幻影;天洪;水环;星星撞击;等价交换;升龙咆哮;集中;贯手;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;毒沼;水弹枪;风墙;化劲;叠势;复写;无畏之心;有效预防;棘突;气波;硬门;突袭;酶浓度调整;防反;防御反击;魔能爆,images/sprites/咔咔壳_本来的样子.png
13,咔咔壳,水,缩壳,携带的防御技能能耗-2。,"火,地,机械","草,电","火,机械","草,冰,龙",肥皂泡;防御;魔法增效;气泡;洗礼;后发制人;水泡盾;水光冲击;落雨;水炮;泡沫幻影;天洪;水环;星星撞击;等价交换;升龙咆哮;集中;贯手;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;毒沼;水弹枪;风墙;化劲;叠势;复写;无畏之心;有效预防;棘突;气波;硬门;突袭;酶浓度调整;防反;防御反击;魔能爆,images/sprites/咔咔壳_本来的样子.png
14,水泡壳,水,缩壳,携带的防御技能能耗-2。,"火,地,机械","草,电","火,机械","草,冰,龙",肥皂泡;防御;魔法增效;气泡;洗礼;后发制人;水泡盾;水光冲击;落雨;水炮;泡沫幻影;天洪;水环;星星撞击;等价交换;升龙咆哮;集中;贯手;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;毒沼;水弹枪;风墙;化劲;叠势;复写;无畏之心;有效预防;棘突;气波;硬门;突袭;酶浓度调整;防反;防御反击;魔能爆,images/sprites/水泡壳_本来的样子.png
14,水泡壳,水,缩壳,携带的防御技能能耗-2。,"火,地,机械","草,电","火,机械","草,冰,龙",肥皂泡;防御;魔法增效;气泡;洗礼;后发制人;水泡盾;水光冲击;落雨;水炮;泡沫幻影;天洪;水环;星星撞击;等价交换;升龙咆哮;集中;贯手;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;毒沼;水弹枪;风墙;化劲;叠势;复写;无畏之心;有效预防;棘突;气波;硬门;突袭;酶浓度调整;防反;防御反击;魔能爆,images/sprites/水泡壳_本来的样子.png
15,锥尾羊,幽,碰瓷,自己使用恶系技能后，敌方失去2能量。,"光,幻,幽","光,幽,恶","普通,毒,虫,武","普通,恶",恶能量;力量增效;幻象;勾魂;虚假破产;降灵;撕咬;力量吞噬;见招拆招;恶作剧;极限撕裂;恶意逃离;坟场搏击;休息回复;诋毁;升龙咆哮;麻痹;化劲;火焰箭;灵媒;徒长;霜降;假寐;透射;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;伪造账单;复写;富养化;应激反应;报复;晒太阳;暗箱操作;欺诈契约;移花接木;聒噪;芳香诱引;防御;隐藏条款,images/sprites/锥尾羊.png
16,铃兰羊,幽,碰瓷,自己使用恶系技能后，敌方失去2能量。,"光,幻,幽","光,幽,恶","普通,毒,虫,武","普通,恶",恶能量;力量增效;幻象;勾魂;虚假破产;降灵;撕咬;力量吞噬;见招拆招;恶作剧;极限撕裂;恶意逃离;坟场搏击;休息回复;诋毁;升龙咆哮;麻痹;化劲;火焰箭;灵媒;徒长;霜降;假寐;透射;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;伪造账单;复写;富养化;应激反应;报复;晒太阳;暗箱操作;欺诈契约;移花接木;聒噪;芳香诱引;防御;隐藏条款,images/sprites/铃兰羊.png
17,花影羚羊,"幽,恶",碰瓷,自己使用恶系技能后，敌方失去2能量。,"幽,毒,萌,幻","光,萌","普通,毒","恶,普通,武",恶能量;力量增效;幻象;勾魂;虚假破产;降灵;撕咬;力量吞噬;见招拆招;恶作剧;极限撕裂;恶意逃离;坟场搏击;休息回复;诋毁;升龙咆哮;麻痹;化劲;火焰箭;灵媒;徒长;霜降;假寐;透射;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;伪造账单;复写;富养化;应激反应;报复;晒太阳;暗箱操作;欺诈契约;移花接木;聒噪;芳香诱引;防御;隐藏条款,images/sprites/花影羚羊.png
18,雪绒鸟,翼,顺风,若先于敌方攻击，本次技能威力+50%。,"草,武,虫","电,冰","草,武,虫","地,龙,电,机械",啄击;力量增效;先发制人;乘风;防御;扇风;羽化加速;闪击;风起;俯冲猛击;快速移动;羽刃;龙卷风;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;花香;冷风;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;以重制重;伺机而动;借用;偷袭;冰爪;冰雹;撕咬;有效预防;水刃;水幕冲击;潮涌;热身运动;疾风刺;蓄水;速冻,images/sprites/雪绒鸟_本来的样子.png
18,雪绒鸟,翼,顺风,若先于敌方攻击，本次技能威力+50%。,"草,武,虫","电,冰","草,武,虫","地,龙,电,机械",啄击;力量增效;先发制人;乘风;防御;扇风;羽化加速;闪击;风起;俯冲猛击;快速移动;羽刃;龙卷风;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;荆棘爪;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;以重制重;伺机而动;借用;偷袭;抽枝;撕咬;有效预防;水刃;水幕冲击;潮涌;热身运动;疾风刺;移花接木;筛管奔流;蓄水,images/sprites/雪绒鸟_本来的样子.png
18,雪绒鸟,翼,顺风,若先于敌方攻击，本次技能威力+50%。,"草,武,虫","电,冰","草,武,虫","地,龙,电,机械",啄击;力量增效;先发制人;乘风;防御;扇风;羽化加速;闪击;风起;俯冲猛击;快速移动;羽刃;龙卷风;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰箭;灵媒;花香;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;以重制重;伺机而动;借用;偷袭;怒火;撕咬;有效预防;水刃;水幕冲击;潮涌;热身运动;疾风刺;蓄水;闪燃;高温回火,images/sprites/雪绒鸟_本来的样子.png
18,雪绒鸟,翼,顺风,若先于敌方攻击，本次技能威力+50%。,"草,武,虫","电,冰","草,武,虫","地,龙,电,机械",啄击;力量增效;先发制人;乘风;防御;扇风;羽化加速;闪击;风起;俯冲猛击;快速移动;羽刃;龙卷风;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;花香;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;以重制重;伺机而动;借用;偷袭;撕咬;有效预防;水刃;水幕冲击;泥浆铠甲;潮涌;热身运动;疾风刺;石肤术;蓄水;震击,images/sprites/雪绒鸟_本来的样子.png
19,冬羽雀,翼,顺风,若先于敌方攻击，本次技能威力+50%。,"草,武,虫","电,冰","草,武,虫","地,龙,电,机械",啄击;力量增效;先发制人;乘风;防御;扇风;羽化加速;闪击;风起;俯冲猛击;快速移动;羽刃;龙卷风;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;花香;冷风;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;以重制重;伺机而动;借用;偷袭;冰爪;冰雹;撕咬;有效预防;水刃;水幕冲击;潮涌;热身运动;疾风刺;蓄水;速冻,images/sprites/冬羽雀_本来的样子.png
19,冬羽雀,翼,顺风,若先于敌方攻击，本次技能威力+50%。,"草,武,虫","电,冰","草,武,虫","地,龙,电,机械",啄击;力量增效;先发制人;乘风;防御;扇风;羽化加速;闪击;风起;俯冲猛击;快速移动;羽刃;龙卷风;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;荆棘爪;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;以重制重;伺机而动;借用;偷袭;抽枝;撕咬;有效预防;水刃;水幕冲击;潮涌;热身运动;疾风刺;移花接木;筛管奔流;蓄水,images/sprites/冬羽雀_本来的样子.png
19,冬羽雀,翼,顺风,若先于敌方攻击，本次技能威力+50%。,"草,武,虫","电,冰","草,武,虫","地,龙,电,机械",啄击;力量增效;先发制人;乘风;防御;扇风;羽化加速;闪击;风起;俯冲猛击;快速移动;羽刃;龙卷风;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰箭;灵媒;花香;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;以重制重;伺机而动;借用;偷袭;怒火;撕咬;有效预防;水刃;水幕冲击;潮涌;热身运动;疾风刺;蓄水;闪燃;高温回火,images/sprites/冬羽雀_本来的样子.png
19,冬羽雀,翼,顺风,若先于敌方攻击，本次技能威力+50%。,"草,武,虫","电,冰","草,武,虫","地,龙,电,机械",啄击;力量增效;先发制人;乘风;防御;扇风;羽化加速;闪击;风起;俯冲猛击;快速移动;羽刃;龙卷风;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;花香;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;以重制重;伺机而动;借用;偷袭;撕咬;有效预防;水刃;水幕冲击;泥浆铠甲;潮涌;热身运动;疾风刺;石肤术;蓄水;震击,images/sprites/冬羽雀_本来的样子.png
20,岚鸟,翼,顺风,若先于敌方攻击，本次技能威力+50%。,"草,武,虫","电,冰","草,武,虫","地,龙,电,机械",啄击;力量增效;先发制人;乘风;防御;扇风;羽化加速;闪击;风起;俯冲猛击;快速移动;羽刃;龙卷风;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;花香;冷风;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;以重制重;伺机而动;借用;偷袭;冰爪;冰雹;撕咬;有效预防;水刃;水幕冲击;潮涌;热身运动;疾风刺;蓄水;速冻,images/sprites/岚鸟_本来的样子.png
20,岚鸟,翼,顺风,若先于敌方攻击，本次技能威力+50%。,"草,武,虫","电,冰","草,武,虫","地,龙,电,机械",啄击;力量增效;先发制人;乘风;防御;扇风;羽化加速;闪击;风起;俯冲猛击;快速移动;羽刃;龙卷风;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;荆棘爪;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;以重制重;伺机而动;借用;偷袭;抽枝;撕咬;有效预防;水刃;水幕冲击;潮涌;热身运动;疾风刺;移花接木;筛管奔流;蓄水,images/sprites/岚鸟_本来的样子.png
20,岚鸟,翼,顺风,若先于敌方攻击，本次技能威力+50%。,"草,武,虫","电,冰","草,武,虫","地,龙,电,机械",啄击;力量增效;先发制人;乘风;防御;扇风;羽化加速;闪击;风起;俯冲猛击;快速移动;羽刃;龙卷风;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰箭;灵媒;花香;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;以重制重;伺机而动;借用;偷袭;怒火;撕咬;有效预防;水刃;水幕冲击;潮涌;热身运动;疾风刺;蓄水;闪燃;高温回火,images/sprites/岚鸟_本来的样子.png
20,岚鸟,翼,顺风,若先于敌方攻击，本次技能威力+50%。,"草,武,虫","电,冰","草,武,虫","地,龙,电,机械",啄击;力量增效;先发制人;乘风;防御;扇风;羽化加速;闪击;风起;俯冲猛击;快速移动;羽刃;龙卷风;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;花香;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;以重制重;伺机而动;借用;偷袭;撕咬;有效预防;水刃;水幕冲击;泥浆铠甲;潮涌;热身运动;疾风刺;石肤术;蓄水;震击,images/sprites/岚鸟_本来的样子.png
